YEAR,ENERGY SOURCE,GENERATION (Megawatthours)
2013,Other Biomass,83321959.29
2013,Other Gases,51411748.82
2013,Petroleum,108657776.27
2013,Pumped Storage,-18724132.0
2013,Solar Thermal and Photovoltaic,36142482.04
2013,Wind,671358982.23
2013,Wood and Wood Derived Fuels,160110148.46
2014,Coal,6342786453.58
2014,Geothermal,66513738.16
2014,Hydroelectric Conventional,1034995793.63
2014,Natural Gas,4487710093.7
2014,Nuclear,3188269832.0
2014,Other,50303816.07
2014,Other Biomass,85076262.15
2014,Other Gases,46311352.67
2014,Petroleum,121955473.03
2014,Pumped Storage,-24834864.0
2014,Solar Thermal and Photovoltaic,73285816.94
2014,Wind,727165557.55
2014,Wood and Wood Derived Fuels,172199447.44
2015,Coal,5409592787.0
2015,Geothermal,63670296.0
2015,Hydroelectric Conventional,996320337.0
2015,Natural Gas,5333928443.0
2015,Nuclear,3188711508.0
2015,Other,56111231.0
2015,Other Biomass,86813476.0
2015,Other Gases,52466794.0
2015,Petroleum,112994974.0
2015,Pumped Storage,-20365952.0
2015,Solar Thermal and Photovoltaic,99571623.0
2015,Wind,762874206.0
2015,Wood and Wood Derived Fuels,167714014.0
2016,Coal,4956594625.0
2016,Geothermal,63303216.0
2016,Hydroelectric Conventional,1071248613.0
2016,Natural Gas,5513227759.0
2016,Nuclear,3222775792.0
2016,Other,55016948.0
2016,Other Biomass,87252920.0
2016,Other Gases,51229732.0
2016,Petroleum,96819242.0
2016,Pumped Storage,-26744508.0
2016,Solar Thermal and Photovoltaic,144216486.0
2016,Wind,907970261.0
2016,Wood and Wood Derived Fuels,163788911.0
2017,Coal,4823341088.0
2017,Geothermal,63707094.0
2017,Hydroelectric Conventional,1201331740.0
2017,Natural Gas,5185770005.0
2017,Nuclear,3219798540.0
2017,Other,52384477.0
2017,Other Biomass,86439564.0
2017,Other Gases,49875868.0
2017,Petroleum,85559788.0
2017,Pumped Storage,-25978192.0
2017,Solar Thermal and Photovoltaic,213147463.0
2017,Wind,1017210794.0
2017,Wood and Wood Derived Fuels,164494080.0
2018,Coal,4597949377.0
2018,Geothermal,63868535.0
2018,Hydroelectric Conventional,1170095960.0
2018,Natural Gas,5876530736.0
2018,Nuclear,3228337908.0
2018,Other,51892823.0
2018,Other Biomass,83583086.0
2018,Other Gases,53850995.0
2018,Petroleum,100902496.0
2018,Pumped Storage,-23618156.0
2018,Solar Thermal and Photovoltaic,255301248.0
2018,Wind,1090669828.0
2018,Wood and Wood Derived Fuels,163744645.0
2019,Coal,3859827046.0
2019,Geothermal,61890874.0
2019,Hydroelectric Conventional,1151494914.0
2019,Natural Gas,6342867157.0
2019,Nuclear,3237637048.0
2019,Other,53337056.0
2019,Other Biomass,75854283.0
2019,Other Gases,50364388.0
2019,Petroleum,73752731.0
2019,Pumped Storage,-21042976.0
2019,Solar Thermal and Photovoltaic,287747298.0
2019,Wind,1179625281.0
2019,Wood and Wood Derived Fuels,154173537.0
2020,Coal,3093571614.0
2020,Geothermal,63558784.0
2020,Hydroelectric Conventional,1141095607.0
2020,Natural Gas,6496200000.0
2020,Nuclear,3159515452.0
2020,Other,51420754.0
2020,Other Biomass,73970725.0
2020,Other Gases,47273912.0
2020,Petroleum,69364071.0
2020,Pumped Storage,-21284820.0
2020,Solar Thermal and Photovoltaic,356794869.0
2020,Wind,1351752186.0
2020,Wood and Wood Derived Fuels,144841366.0
2021,Coal,3594714118.0
2021,Geothermal,64951536.0
2021,Hydroelectric Conventional,1040899550.0
2021,Natural Gas,6300919271.0
2021,Nuclear,3112606000.0
2021,Other,48559043.0
2021,Other Biomass,73234609.0
2021,Other Gases,45132416.0
2021,Petroleum,75127131.0
2021,Pumped Storage,-20446736.0
2021,Solar Thermal and Photovoltaic,458712966.0
2021,Wind,1519069002.0
2021,Wood and Wood Derived Fuels,148681818.0
2022,Coal,1345517761.0
2022,Geothermal,26754077.0
2022,Hydroelectric Conventional,483890065.0
2022,Natural Gas,2391180558.0
2022,Nuclear,1257054572.0
2022,Other,19024844.0
2022,Other Biomass,28314804.0
2022,Other Gases,18607760.0
2022,Petroleum,38296521.0
2022,Pumped Storage,-7820192.0
2022,Solar Thermal and Photovoltaic,230928908.0
2022,Wind,830781787.0
2022,Wood and Wood Derived Fuels,59614386.0
